"id","naam","adres","latitude","longitude","capaciteit","free_slots","parked_bikes"
"956397d3ea9af512caf2fe356e47664e","061- Victor Jacobslei","Statiestraat - Victor Jacobslei",51.19781,4.42541,33,32,1
"9587fd8065ee4d9a484e4bfb13e16e5f","074- Vismijn","Scheldestraat - Kronenburgstraat",51.21233,4.39402,28,21,7
"96ca89d8ac353ccf1583dd35da75ac9a","004- De Keyserlei","De Keyserlei",51.21736,4.42009,21,10,11
"97ddc06d57fbcce999103e21b268b0db","129- Godefriduskaai","Godefriduskaai Qpark",51.22808,4.40888,36,10,26
"986f605721eb02cd48ed40e3c1343231","010- NMBS Zuid","Desguinlei - Montignystraat",51.19847,4.39072,36,27,9
"9a69a32d1d2ce3fd345b5123402618e3","039- Koxplein","Betogingstraat tov3",51.21106,4.4341,36,35,1
"9a900c0be6ac8f1d8540f8a7749fef27","287- Kioskplaats/Centrum","Berkenrodelei",51.17774,4.35,36,13,23
"9b035bd926222b0f61137720e4d5136a","224- Indiestraat","Indiestraat",51.23439,4.40958,36,33,3
"9b8e9301367dda36c482e1065a22726f","229- Jozef Nellens","Jozef Nellenslei",51.22616,4.45199,36,24,12
"9c1f018a7b16edfcf6799b5e44ecb0eb","214- Kerkhofblommen","Kerkhofblommenstraat",51.2481,4.43234,36,22,14
"9d2e57320ca151e15eab08464e148bb5","269- Middelheim","Elisabethlaan",51.18309,4.42431,30,22,8
"9db7ec7fff8d0ec9bc5a7b8b35a8f465","028- Keizerstraat","Keizerstraat ro n° 56",51.22149,4.40866,23,8,15
"9dbc4eb321019e292c6e8aea07af2d90","119- Ploeg","Provinciestraat (plein)",51.21537,4.42537,23,23,0
"9ee0bcdeca56985092a70005a92df3b2","205- Kinepolis","Groenendaallaan",51.24478,4.41434,35,18,17
"9f789cb8f373fdbb01a13623c43bb8fa","264- Filip Williotstraat","Filip Williotstraat",51.18765,4.4351,36,36,0
"9fae63fc0d57410165dc4b5c1513842d","158- Zuidervelodroom","Zuidervelodroom",51.20193,4.39839,36,30,6
"a01694b2c46930405f6a2b967722ad7a","228- Van Heetvelde","Van Heetveldelei",51.22984,4.45141,24,21,3
"a335fe6ffe5b2853ab64148a38b5b5dc","016- Marnixplaats","Karel Rogierstraat",51.21016,4.39661,25,24,1
"a3fc987b920fb9b990852081961577af","284- Steynsstraat","Steynsstraat",51.18323,4.36413,35,20,15
"a4068718264718d3a30589f25d014e5c","266- Fruithoflaan 1","Fruithoflaan - Sint-Theresiastraat",51.18076,4.43471,34,28,6
"a5559bf3dbd334ea0a80f909bc510417","252- Te Boelaerpark/Gitschotellei","Karel de Preterlei",51.20001,4.45028,32,29,3
